Division,State,Party,Margin,Copy,Link
Herbert,QLD,Australian Labor Party,37,This will be some copy text entered by a CMS user,https://google.com
Higgins,VIC,Liberal,"14,427",This will be some copy text entered by a CMS user,https://google.com
Hindmarsh,SA,Australian Labor Party,"1,140",This will be some copy text entered by a CMS user,https://google.com
Hinkler,QLD,Liberal National Party,"14,939",This will be some copy text entered by a CMS user,https://google.com
Holt,VIC,Australian Labor Party,"28,228",This will be some copy text entered by a CMS user,https://google.com
Hotham,VIC,Australian Labor Party,"13,044",This will be some copy text entered by a CMS user,https://google.com
Hughes,NSW,Liberal,"17,490",This will be some copy text entered by a CMS user,https://google.com
Hume,NSW,Liberal,"19,326",This will be some copy text entered by a CMS user,https://google.com
Hunter,NSW,Australian Labor Party,"24,044",This will be some copy text entered by a CMS user,https://google.com
Indi,VIC,Independent,"8,705",This will be some copy text entered by a CMS user,https://google.com
Isaacs,VIC,Australian Labor Party,"10,606",This will be some copy text entered by a CMS user,https://google.com
Jagajaga,VIC,Australian Labor Party,"8,642",This will be some copy text entered by a CMS user,https://google.com
Kennedy,QLD,Katter's Australian Party,"19,130",This will be some copy text entered by a CMS user,https://google.com
Kingsford Smith,NSW,Australian Labor Party,"15,790",This will be some copy text entered by a CMS user,https://google.com
Kingston,SA,Australian Labor Party,"31,841",This will be some copy text entered by a CMS user,https://google.com
Kooyong,VIC,Liberal,"24,011",This will be some copy text entered by a CMS user,https://google.com
La Trobe,VIC,Liberal,"2,701",This will be some copy text entered by a CMS user,https://google.com
Lalor,VIC,Australian Labor Party,"28,702",This will be some copy text entered by a CMS user,https://google.com
Leichhardt,QLD,Liberal National Party,"7,022",This will be some copy text entered by a CMS user,https://google.com
Lilley,QLD,Australian Labor Party,"10,226",This will be some copy text entered by a CMS user,https://google.com
Lindsay,NSW,Australian Labor Party,"1,990",This will be some copy text entered by a CMS user,https://google.com
Lingiari,NT,Australian Labor Party,"7,221",This will be some copy text entered by a CMS user,https://google.com
Longman,QLD,Australian Labor Party,"1,390",This will be some copy text entered by a CMS user,https://google.com
Lyne,NSW,The Nationals,"23,178",This will be some copy text entered by a CMS user,https://google.com
Lyons,TAS,Australian Labor Party,"3,161",This will be some copy text entered by a CMS user,https://google.com
Macarthur,NSW,Australian Labor Party,"14,984",This will be some copy text entered by a CMS user,https://google.com
Mackellar,NSW,Liberal,"29,588",This will be some copy text entered by a CMS user,https://google.com
Macquarie,NSW,Australian Labor Party,"4,014",This will be some copy text entered by a CMS user,https://google.com
Makin,SA,Australian Labor Party,"18,162",This will be some copy text entered by a CMS user,https://google.com
Mallee,VIC,The Nationals,"37,300",This will be some copy text entered by a CMS user,https://google.com
Maranoa,QLD,Liberal National Party,"28,567",This will be some copy text entered by a CMS user,https://google.com
Maribyrnong,VIC,Australian Labor Party,"23,096",This will be some copy text entered by a CMS user,https://google.com
Mayo,SA,Nick Xenophon Team,"9,450",This will be some copy text entered by a CMS user,https://google.com
McEwen,VIC,Australian Labor Party,"17,764",This will be some copy text entered by a CMS user,https://google.com
McMahon,NSW,Australian Labor Party,"20,846",This will be some copy text entered by a CMS user,https://google.com
McMillan,VIC,Liberal,"12,165",This will be some copy text entered by a CMS user,https://google.com
McPherson,QLD,Liberal National Party,"20,648",This will be some copy text entered by a CMS user,https://google.com
Melbourne,VIC,The Greens,"34,963",This will be some copy text entered by a CMS user,https://google.com
Melbourne Ports,VIC,Australian Labor Party,"2,337",This will be some copy text entered by a CMS user,https://google.com
Menzies,VIC,Liberal,"18,427",This will be some copy text entered by a CMS user,https://google.com
Mitchell,NSW,Liberal,"32,496",This will be some copy text entered by a CMS user,https://google.com
Moncrieff,QLD,Liberal National Party,"25,688",This will be some copy text entered by a CMS user,https://google.com
Moore,WA,Liberal,"19,287",This will be some copy text entered by a CMS user,https://google.com
Moreton,QLD,Australian Labor Party,"6,836",This will be some copy text entered by a CMS user,https://google.com
Murray,VIC,The Nationals,"9,038",This will be some copy text entered by a CMS user,https://google.com
New England,NSW,The Nationals,"16,186",This will be some copy text entered by a CMS user,https://google.com
Newcastle,NSW,Australian Labor Party,"27,461",This will be some copy text entered by a CMS user,https://google.com
North Sydney,NSW,Liberal,"25,173",This will be some copy text entered by a CMS user,https://google.com
O'Connor,WA,Liberal,"26,152",This will be some copy text entered by a CMS user,https://google.com
Oxley,QLD,Australian Labor Party,"15,139",This will be some copy text entered by a CMS user,https://google.com
Page,NSW,The Nationals,"4,822",This will be some copy text entered by a CMS user,https://google.com
Parkes,NSW,The Nationals,"28,255",This will be some copy text entered by a CMS user,https://google.com
Parramatta,NSW,Australian Labor Party,"12,578",This will be some copy text entered by a CMS user,https://google.com
Paterson,NSW,Australian Labor Party,"21,490",This will be some copy text entered by a CMS user,https://google.com
Pearce,WA,Liberal,"6,312",This will be some copy text entered by a CMS user,https://google.com
Perth,WA,Australian Labor Party,"5,573",This will be some copy text entered by a CMS user,https://google.com
Petrie,QLD,Liberal National Party,"3,059",This will be some copy text entered by a CMS user,https://google.com
Port Adelaide,SA,Australian Labor Party,"28,539",This will be some copy text entered by a CMS user,https://google.com
Rankin,QLD,Australian Labor Party,"19,301",This will be some copy text entered by a CMS user,https://google.com
Reid,NSW,Liberal,"8,489",This will be some copy text entered by a CMS user,https://google.com
Richmond,NSW,Australian Labor Party,"7,786",This will be some copy text entered by a CMS user,https://google.com
Riverina,NSW,The Nationals,"32,518",This will be some copy text entered by a CMS user,https://google.com
Robertson,NSW,Liberal,"2,179",This will be some copy text entered by a CMS user,https://google.com
Ryan,QLD,Liberal National Party,"17,224",This will be some copy text entered by a CMS user,https://google.com
Scullin,VIC,Australian Labor Party,"33,060",This will be some copy text entered by a CMS user,https://google.com
Shortland,NSW,Australian Labor Party,"19,484",This will be some copy text entered by a CMS user,https://google.com
Solomon,NT,Australian Labor Party,"6,547",This will be some copy text entered by a CMS user,https://google.com
Stirling,WA,Liberal,"10,149",This will be some copy text entered by a CMS user,https://google.com
Sturt,SA,Liberal,"10,964",This will be some copy text entered by a CMS user,https://google.com
Swan,WA,Liberal,"5,848",This will be some copy text entered by a CMS user,https://google.com
Sydney,NSW,Australian Labor Party,"26,920",This will be some copy text entered by a CMS user,https://google.com
Tangney,WA,Liberal,"18,493",This will be some copy text entered by a CMS user,https://google.com
Wakefield,SA,Australian Labor Party,"21,055",This will be some copy text entered by a CMS user,https://google.com
Wannon,VIC,Liberal,"15,995",This will be some copy text entered by a CMS user,https://google.com
Warringah,NSW,Liberal,"20,026",This will be some copy text entered by a CMS user,https://google.com
Watson,NSW,Australian Labor Party,"29,258",This will be some copy text entered by a CMS user,https://google.com
Wentworth,NSW,Liberal,"29,850",This will be some copy text entered by a CMS user,https://google.com
Werriwa,NSW,Australian Labor Party,"14,649",This will be some copy text entered by a CMS user,https://google.com
Whitlam,NSW,Australian Labor Party,"27,019",This will be some copy text entered by a CMS user,https://google.com
Wide Bay,QLD,Liberal National Party,"14,639",This will be some copy text entered by a CMS user,https://google.com
Wills,VIC,Australian Labor Party,"9,184",This will be some copy text entered by a CMS user,https://google.com
Wright,QLD,Liberal National Party,"16,984",This will be some copy text entered by a CMS user,https://google.com
